Applicant_ID,Income,Debt,EMI_Ratio,Late_Payments,Employment,CreditScore,DTI_Ratio,Risk,LoanStatus
A0001,23958,74063,50,3,SelfEmployed,300,3.09,High,Rejected
A0002,24965,37723,38,1,Salaried,300,1.51,High,Rejected
A0003,97892,50831,28,4,Salaried,398,0.52,High,Rejected
A0004,77289,38602,26,3,Salaried,370,0.5,High,Rejected
A0005,36651,67924,69,1,SelfEmployed,300,1.85,High,Rejected
A0006,77395,29929,41,4,SelfEmployed,323,0.39,High,Rejected
A0007,51381,5926,62,0,Salaried,476,0.12,High,Rejected
A0008,84005,19843,70,1,Salaried,526,0.24,High,Rejected
A0009,24040,71827,66,5,SelfEmployed,300,2.99,High,Rejected
A0010,75269,41336,60,4,Salaried,313,0.55,High,Rejected
A0011,67564,17836,65,1,SelfEmployed,433,0.26,High,Rejected
A0012,92609,31565,53,2,SelfEmployed,465,0.34,High,Rejected
A0013,30189,79326,42,0,Salaried,300,2.63,High,Rejected
A0014,98054,25566,52,3,Salaried,491,0.26,High,Rejected
A0015,92988,40818,57,3,Salaried,437,0.44,High,Rejected
A0016,87503,31318,18,3,Salaried,434,0.36,High,Rejected
A0017,96091,61367,28,4,SelfEmployed,338,0.64,High,Rejected
A0018,80456,39088,13,1,SelfEmployed,434,0.49,High,Rejected
A0019,28962,18843,35,5,SelfEmployed,300,0.65,High,Rejected
A0020,41277,66614,65,4,Salaried,300,1.61,High,Rejected
A0021,28339,11850,48,5,SelfEmployed,300,0.42,High,Rejected
A0022,65066,29423,29,4,SelfEmployed,300,0.45,High,Rejected
A0023,66397,45885,21,3,SelfEmployed,300,0.69,High,Rejected
A0024,77989,6043,40,0,SelfEmployed,547,0.08,High,Rejected
A0025,84837,53177,59,1,Salaried,451,0.63,High,Rejected
A0026,27654,48172,44,3,Salaried,300,1.74,High,Rejected
A0027,63632,9351,27,2,SelfEmployed,403,0.15,High,Rejected
A0028,46856,79965,70,4,Salaried,300,1.71,High,Rejected
A0029,76368,75999,47,1,Salaried,348,1.0,High,Rejected
A0030,98731,62520,50,5,Salaried,338,0.63,High,Rejected
A0031,42523,14392,16,0,Salaried,401,0.34,High,Rejected
A0032,67302,76928,11,0,Salaried,326,1.14,High,Rejected
A0033,83317,55129,42,1,Salaried,439,0.66,High,Rejected
A0034,98152,14085,27,5,SelfEmployed,404,0.14,High,Rejected
A0035,24957,74186,36,0,SelfEmployed,300,2.97,High,Rejected
A0036,89312,40486,23,3,SelfEmployed,391,0.45,High,Rejected
A0037,83770,32028,63,0,Salaried,536,0.38,High,Rejected
A0038,90555,25221,27,3,Salaried,461,0.28,High,Rejected
A0039,76092,10426,55,5,Salaried,358,0.14,High,Rejected
A0040,58865,20867,25,3,SelfEmployed,305,0.35,High,Rejected
A0041,68525,21662,34,3,Salaried,376,0.32,High,Rejected
A0042,62198,56830,43,0,SelfEmployed,324,0.91,High,Rejected
A0043,39974,28958,18,5,Salaried,300,0.72,High,Rejected
A0044,56173,62360,33,1,SelfEmployed,300,1.11,High,Rejected
A0045,60603,63487,21,2,Salaried,300,1.05,High,Rejected
A0046,22833,62199,11,3,Salaried,300,2.72,High,Rejected
A0047,96210,15727,34,5,SelfEmployed,394,0.16,High,Rejected
A0048,97346,8824,11,2,SelfEmployed,532,0.09,High,Rejected
A0049,59150,32557,46,1,SelfEmployed,346,0.55,High,Rejected
A0050,88926,20736,64,5,SelfEmployed,354,0.23,High,Rejected
A0051,89309,44933,69,5,Salaried,331,0.5,High,Rejected
A0052,37179,27053,56,4,SelfEmployed,300,0.73,High,Rejected
A0053,52172,51151,16,0,Salaried,306,0.98,High,Rejected
A0054,37144,41740,20,2,Salaried,300,1.12,High,Rejected
A0055,87900,68591,51,3,SelfEmployed,321,0.78,High,Rejected
A0056,50377,64173,46,0,SelfEmployed,300,1.27,High,Rejected
A0057,83779,41504,35,0,SelfEmployed,484,0.5,High,Rejected
A0058,27798,36754,70,4,SelfEmployed,300,1.32,High,Rejected
A0059,96382,78350,54,4,Salaried,334,0.81,High,Rejected
A0060,65864,20744,19,3,Salaried,367,0.31,High,Rejected
A0061,92052,23194,59,3,Salaried,471,0.25,High,Rejected
A0062,75181,52548,48,2,SelfEmployed,333,0.7,High,Rejected
A0063,60269,41647,11,0,Salaried,392,0.69,High,Rejected
A0064,43483,46581,63,1,Salaried,300,1.07,High,Rejected
A0065,25924,32242,15,4,SelfEmployed,300,1.24,High,Rejected
A0066,38250,1188,60,1,Salaried,407,0.03,High,Rejected
A0067,85886,53152,27,3,SelfEmployed,346,0.62,High,Rejected
A0068,84851,67299,55,5,Salaried,300,0.79,High,Rejected
A0069,48278,8138,11,3,SelfEmployed,305,0.17,High,Rejected
A0070,21238,60340,21,0,SelfEmployed,300,2.84,High,Rejected
A0071,39346,3493,60,1,SelfEmployed,369,0.09,High,Rejected
A0072,96030,38152,51,2,SelfEmployed,466,0.4,High,Rejected
A0073,89893,4087,28,4,SelfEmployed,435,0.05,High,Rejected
A0074,97931,52181,52,0,SelfEmployed,526,0.53,High,Rejected
A0075,90185,65708,31,0,SelfEmployed,459,0.73,High,Rejected
A0076,91070,54392,19,5,Salaried,319,0.6,High,Rejected
A0077,66596,46585,21,4,SelfEmployed,300,0.7,High,Rejected
A0078,83578,16843,65,2,Salaried,492,0.2,High,Rejected
A0079,30742,56093,28,5,Salaried,300,1.82,High,Rejected
A0080,50396,67201,57,4,SelfEmployed,300,1.33,High,Rejected
A0081,37744,31896,41,5,Salaried,300,0.85,High,Rejected
A0082,74988,30212,38,4,Salaried,341,0.4,High,Rejected
A0083,73795,74035,10,4,SelfEmployed,300,1.0,High,Rejected
A0084,51764,628,29,5,Salaried,300,0.01,High,Rejected
A0085,35928,3086,27,3,SelfEmployed,300,0.09,High,Rejected
A0086,94678,13413,35,4,SelfEmployed,433,0.14,High,Rejected
A0087,61726,46229,28,5,SelfEmployed,300,0.75,High,Rejected
A0088,68607,2318,20,1,SelfEmployed,483,0.03,High,Rejected
A0089,63582,17815,63,3,SelfEmployed,336,0.28,High,Rejected
A0090,53015,518,50,0,Salaried,503,0.01,High,Rejected
A0091,67839,9381,42,0,SelfEmployed,499,0.14,High,Rejected
A0092,71445,21071,34,3,Salaried,391,0.29,High,Rejected
A0093,69964,38538,53,3,Salaried,334,0.55,High,Rejected
A0094,79666,79290,43,5,Salaried,300,1.0,High,Rejected
A0095,30102,36534,18,0,SelfEmployed,300,1.21,High,Rejected
A0096,75639,39212,25,3,Salaried,361,0.52,High,Rejected
A0097,76385,1020,27,0,SelfEmployed,554,0.01,High,Rejected
A0098,64429,10301,26,1,SelfEmployed,443,0.16,High,Rejected
A0099,36640,68999,40,2,Salaried,300,1.88,High,Rejected
A0100,28530,75980,35,3,SelfEmployed,300,2.66,High,Rejected
A0101,21576,47207,26,0,Salaried,300,2.19,High,Rejected
A0102,25705,32922,27,2,SelfEmployed,300,1.28,High,Rejected
A0103,58768,71779,69,1,Salaried,300,1.22,High,Rejected
A0104,38326,49197,69,0,Salaried,300,1.28,High,Rejected
A0105,62592,63196,22,2,Salaried,300,1.01,High,Rejected
A0106,83297,16589,12,2,SelfEmployed,461,0.2,High,Rejected
A0107,72790,26072,31,2,SelfEmployed,393,0.36,High,Rejected
A0108,98489,69216,25,3,SelfEmployed,374,0.7,High,Rejected
A0109,75142,40318,20,3,Salaried,355,0.54,High,Rejected
A0110,89460,36946,25,0,Salaried,550,0.41,High,Rejected
A0111,22953,3687,15,5,Salaried,300,0.16,High,Rejected
A0112,50309,18768,19,0,SelfEmployed,391,0.37,High,Rejected
A0113,49366,54044,19,1,Salaried,300,1.09,High,Rejected
A0114,22811,58278,70,4,SelfEmployed,300,2.55,High,Rejected
A0115,48687,57856,59,2,SelfEmployed,300,1.19,High,Rejected
A0116,42415,48743,12,2,Salaried,300,1.15,High,Rejected
A0117,25523,75501,30,2,SelfEmployed,300,2.96,High,Rejected
A0118,97685,31299,45,4,Salaried,437,0.32,High,Rejected
A0119,35922,21101,46,5,Salaried,300,0.59,High,Rejected
A0120,58946,26793,32,1,Salaried,395,0.45,High,Rejected
A0121,56057,26899,34,5,SelfEmployed,300,0.48,High,Rejected
A0122,60390,2825,41,0,Salaried,522,0.05,High,Rejected
A0123,76108,60567,62,0,SelfEmployed,397,0.8,High,Rejected
A0124,95026,77627,64,3,SelfEmployed,339,0.82,High,Rejected
A0125,52300,74108,14,4,SelfEmployed,300,1.42,High,Rejected
A0126,40668,73614,52,1,SelfEmployed,300,1.81,High,Rejected
A0127,56452,57757,51,3,SelfEmployed,300,1.02,High,Rejected
A0128,48863,4898,26,0,SelfEmployed,440,0.1,High,Rejected
A0129,70709,32005,38,0,SelfEmployed,446,0.45,High,Rejected
A0130,89384,7653,12,0,SelfEmployed,585,0.09,High,Rejected
A0131,45994,70143,59,5,SelfEmployed,300,1.53,High,Rejected
A0132,45174,21318,70,4,Salaried,300,0.47,High,Rejected
A0133,27845,47359,59,3,Salaried,300,1.7,High,Rejected
A0134,98616,252,37,0,Salaried,664,0.0,Medium,Approved
A0135,93012,72642,53,1,SelfEmployed,419,0.78,High,Rejected
A0136,54880,25593,60,3,Salaried,300,0.47,High,Rejected
A0137,52476,34233,48,4,SelfEmployed,300,0.65,High,Rejected
A0138,69699,5989,51,5,Salaried,346,0.09,High,Rejected
A0139,93115,17645,57,4,SelfEmployed,418,0.19,High,Rejected
A0140,91266,39284,43,4,SelfEmployed,363,0.43,High,Rejected
A0141,61908,18866,52,0,SelfEmployed,445,0.3,High,Rejected
A0142,42227,25765,17,0,SelfEmployed,315,0.61,High,Rejected
A0143,96833,67222,33,3,Salaried,400,0.69,High,Rejected
A0144,54231,53662,16,3,SelfEmployed,300,0.99,High,Rejected
A0145,69044,34205,45,2,Salaried,382,0.5,High,Rejected
A0146,45994,8234,70,4,SelfEmployed,300,0.18,High,Rejected
A0147,70949,31813,16,4,Salaried,318,0.45,High,Rejected
A0148,41552,48027,16,5,SelfEmployed,300,1.16,High,Rejected
A0149,35383,57199,38,5,Salaried,300,1.62,High,Rejected
A0150,59081,17482,13,4,SelfEmployed,300,0.3,High,Rejected
A0151,91645,60329,37,4,SelfEmployed,319,0.66,High,Rejected
A0152,51131,66113,29,3,Salaried,300,1.29,High,Rejected
A0153,75338,37791,21,4,Salaried,323,0.5,High,Rejected
A0154,32493,48080,60,4,Salaried,300,1.48,High,Rejected
A0155,52259,16410,15,2,SelfEmployed,330,0.31,High,Rejected
A0156,37847,79435,59,4,SelfEmployed,300,2.1,High,Rejected
A0157,88334,74242,31,2,SelfEmployed,351,0.84,High,Rejected
A0158,49414,572,34,5,SelfEmployed,300,0.01,High,Rejected
A0159,80181,63076,17,5,SelfEmployed,300,0.79,High,Rejected
A0160,63328,34949,11,5,SelfEmployed,300,0.55,High,Rejected
A0161,84547,15184,30,1,SelfEmployed,509,0.18,High,Rejected
A0162,57737,63546,18,2,SelfEmployed,300,1.1,High,Rejected
A0163,72244,59377,19,2,SelfEmployed,300,0.82,High,Rejected
A0164,62158,3112,31,0,Salaried,527,0.05,High,Rejected
A0165,27141,66137,17,5,SelfEmployed,300,2.44,High,Rejected
A0166,76311,11352,26,0,Salaried,557,0.15,High,Rejected
A0167,29791,16359,33,3,Salaried,300,0.55,High,Rejected
A0168,49195,41557,15,3,SelfEmployed,300,0.84,High,Rejected
A0169,20516,14318,25,4,SelfEmployed,300,0.7,High,Rejected
A0170,97208,21621,32,5,Salaried,415,0.22,High,Rejected
A0171,65691,41509,45,1,Salaried,383,0.63,High,Rejected
A0172,42896,66027,13,5,Salaried,300,1.54,High,Rejected
A0173,34525,41323,55,1,SelfEmployed,300,1.2,High,Rejected
A0174,87908,161,24,0,Salaried,627,0.0,Medium,Approved
A0175,28059,38279,66,2,Salaried,300,1.36,High,Rejected
A0176,48803,77960,21,0,SelfEmployed,300,1.6,High,Rejected
A0177,53218,24145,13,5,Salaried,300,0.45,High,Rejected
A0178,87576,26813,47,3,Salaried,445,0.31,High,Rejected
A0179,94542,549,59,4,SelfEmployed,459,0.01,High,Rejected
A0180,47742,31858,11,5,SelfEmployed,300,0.67,High,Rejected
A0181,21453,65546,67,3,SelfEmployed,300,3.06,High,Rejected
A0182,85605,44083,33,1,Salaried,476,0.51,High,Rejected
A0183,64882,63233,33,3,Salaried,300,0.97,High,Rejected
A0184,86275,33749,66,3,Salaried,423,0.39,High,Rejected
A0185,57991,48184,45,1,Salaried,316,0.83,High,Rejected
A0186,26761,50746,32,0,Salaried,300,1.9,High,Rejected
A0187,27929,77376,31,2,SelfEmployed,300,2.77,High,Rejected
A0188,20626,76591,69,3,SelfEmployed,300,3.71,High,Rejected
A0189,49015,74752,48,4,Salaried,300,1.53,High,Rejected
A0190,41233,43767,24,5,SelfEmployed,300,1.06,High,Rejected
A0191,85353,35789,52,5,Salaried,334,0.42,High,Rejected
A0192,64552,32798,58,0,Salaried,444,0.51,High,Rejected
A0193,87602,34214,65,3,Salaried,428,0.39,High,Rejected
A0194,89819,75536,23,4,SelfEmployed,300,0.84,High,Rejected
A0195,44035,58240,53,0,SelfEmployed,300,1.32,High,Rejected
A0196,46645,18683,44,0,SelfEmployed,373,0.4,High,Rejected
A0197,37528,22070,13,4,SelfEmployed,300,0.59,High,Rejected
A0198,49018,42165,60,4,Salaried,300,0.86,High,Rejected
A0199,93249,61300,44,3,Salaried,394,0.66,High,Rejected
A0200,34606,53640,69,1,SelfEmployed,300,1.55,High,Rejected
A0201,26216,52486,29,3,SelfEmployed,300,2.0,High,Rejected
A0202,23021,33794,15,1,SelfEmployed,300,1.47,High,Rejected
A0203,45886,35947,54,4,Salaried,300,0.78,High,Rejected
A0204,73322,41398,14,1,Salaried,423,0.56,High,Rejected
A0205,27826,31731,52,1,Salaried,300,1.14,High,Rejected
A0206,27170,70072,23,4,Salaried,300,2.58,High,Rejected
A0207,47412,41275,69,4,SelfEmployed,300,0.87,High,Rejected
A0208,41244,32136,34,5,SelfEmployed,300,0.78,High,Rejected
A0209,57509,72512,39,3,SelfEmployed,300,1.26,High,Rejected
A0210,33070,74721,29,5,Salaried,300,2.26,High,Rejected
A0211,78446,8913,42,1,Salaried,531,0.11,High,Rejected
A0212,22175,45409,66,5,SelfEmployed,300,2.05,High,Rejected
A0213,25492,20142,51,4,SelfEmployed,300,0.79,High,Rejected
A0214,89731,29733,70,3,SelfEmployed,417,0.33,High,Rejected
A0215,95656,21927,44,3,SelfEmployed,458,0.23,High,Rejected
A0216,28015,78775,34,0,Salaried,300,2.81,High,Rejected
A0217,33351,78390,66,4,Salaried,300,2.35,High,Rejected
A0218,81475,55781,64,2,Salaried,388,0.68,High,Rejected
A0219,86364,36609,61,3,Salaried,417,0.42,High,Rejected
A0220,70736,27602,49,2,Salaried,409,0.39,High,Rejected
A0221,29337,9259,70,5,SelfEmployed,300,0.32,High,Rejected
A0222,46601,45218,32,5,Salaried,300,0.97,High,Rejected
A0223,41522,52758,41,5,SelfEmployed,300,1.27,High,Rejected
A0224,72670,69174,44,2,SelfEmployed,300,0.95,High,Rejected
A0225,88572,78631,11,0,SelfEmployed,422,0.89,High,Rejected
A0226,48625,3994,70,4,SelfEmployed,300,0.08,High,Rejected
A0227,81568,41378,58,4,Salaried,344,0.51,High,Rejected
A0228,91900,43598,67,2,Salaried,466,0.47,High,Rejected
A0229,60745,25270,60,1,SelfEmployed,379,0.42,High,Rejected
A0230,71156,13456,57,4,Salaried,371,0.19,High,Rejected
A0231,97738,34952,69,4,Salaried,430,0.36,High,Rejected
A0232,65030,5824,36,5,SelfEmployed,300,0.09,High,Rejected
A0233,92469,5405,14,5,SelfEmployed,401,0.06,High,Rejected
A0234,55949,69264,14,0,Salaried,300,1.24,High,Rejected
A0235,43235,76010,58,1,SelfEmployed,300,1.76,High,Rejected
A0236,60495,57614,66,0,SelfEmployed,311,0.95,High,Rejected
A0237,50220,13508,35,0,SelfEmployed,411,0.27,High,Rejected
A0238,56930,67244,14,1,Salaried,300,1.18,High,Rejected
A0239,28655,46131,38,5,Salaried,300,1.61,High,Rejected
A0240,45171,18679,29,2,SelfEmployed,300,0.41,High,Rejected
A0241,74099,72257,23,1,Salaried,344,0.98,High,Rejected
A0242,43918,70600,20,4,Salaried,300,1.61,High,Rejected
A0243,89598,22358,64,4,Salaried,423,0.25,High,Rejected
A0244,75194,24416,36,3,Salaried,398,0.32,High,Rejected
A0245,31373,79129,40,2,Salaried,300,2.52,High,Rejected
A0246,28321,77019,56,5,SelfEmployed,300,2.72,High,Rejected
A0247,59175,8736,66,3,SelfEmployed,347,0.15,High,Rejected
A0248,64265,32631,59,5,Salaried,300,0.51,High,Rejected
A0249,39822,43032,62,3,SelfEmployed,300,1.08,High,Rejected
A0250,30861,18879,49,3,SelfEmployed,300,0.61,High,Rejected
A0251,44195,48401,60,5,Salaried,300,1.1,High,Rejected
A0252,78012,46177,40,3,Salaried,354,0.59,High,Rejected
A0253,75614,54797,21,1,SelfEmployed,369,0.72,High,Rejected
A0254,36257,34848,52,5,SelfEmployed,300,0.96,High,Rejected
A0255,51807,68987,68,2,SelfEmployed,300,1.33,High,Rejected
A0256,68282,36707,15,5,Salaried,300,0.54,High,Rejected
A0257,20540,71227,35,1,Salaried,300,3.47,High,Rejected
A0258,94541,64533,47,2,Salaried,434,0.68,High,Rejected
A0259,50488,73156,37,5,SelfEmployed,300,1.45,High,Rejected
A0260,78799,48239,40,5,Salaried,300,0.61,High,Rejected
A0261,25999,44876,46,4,Salaried,300,1.73,High,Rejected
A0262,62623,46940,19,3,Salaried,300,0.75,High,Rejected
A0263,87857,42347,26,1,SelfEmployed,461,0.48,High,Rejected
A0264,28315,8536,10,2,Salaried,300,0.3,High,Rejected
A0265,86492,5354,18,3,Salaried,490,0.06,High,Rejected
A0266,40715,12673,19,1,Salaried,360,0.31,High,Rejected
A0267,61612,75434,56,0,Salaried,300,1.22,High,Rejected
A0268,66138,18143,48,0,Salaried,496,0.27,High,Rejected
A0269,89142,52219,14,5,Salaried,314,0.59,High,Rejected
A0270,83957,59138,41,0,Salaried,472,0.7,High,Rejected
A0271,59355,46172,61,0,Salaried,372,0.78,High,Rejected
A0272,29008,39969,67,0,Salaried,300,1.38,High,Rejected
A0273,46369,61144,63,1,SelfEmployed,300,1.32,High,Rejected
A0274,45291,20350,45,3,Salaried,300,0.45,High,Rejected
A0275,84440,63110,54,5,Salaried,300,0.75,High,Rejected
A0276,83575,6998,48,0,SelfEmployed,565,0.08,High,Rejected
A0277,71061,48504,24,5,Salaried,300,0.68,High,Rejected
A0278,40619,6204,60,2,Salaried,351,0.15,High,Rejected
A0279,73851,62613,36,2,Salaried,328,0.85,High,Rejected
A0280,98759,16520,14,5,Salaried,432,0.17,High,Rejected
